Taxa,Year,Location,Plant_height,Plant height collected in 2015 was new data in present study
PR1314_2125,2015,Manhattan,132.666666666667,
PR1314_2126,2015,Manhattan,128.666666666667,
PR1314_2155,2015,Manhattan,114,
PR1314_2160,2015,Manhattan,179.333333333333,
PR1314_2161,2015,Manhattan,138.666666666667,
PR1314_2175,2015,Manhattan,155.333333333333,
PR1314_2193,2015,Manhattan,178,
PR1314_2225,2015,Manhattan,139.333333333333,
PR1314_2253,2015,Manhattan,146.666666666667,
PR1314_2257,2015,Manhattan,178,
PR1314_2259,2015,Manhattan,104.666666666667,
PR1314_2270,2015,Manhattan,150.666666666667,
PR1314_2272,2015,Manhattan,146,
PR1314_2277,2015,Manhattan,196.666666666667,
PR1314_2282,2015,Manhattan,132,
PR1314_2289,2015,Manhattan,110,
PR1314_2298,2015,Manhattan,142.666666666667,
PR1314_2303,2015,Manhattan,198,
PR1314_2305,2015,Manhattan,148.666666666667,
PR1314_2306,2015,Manhattan,118,
PR1314_2317,2015,Manhattan,146.666666666667,
PR1314_2318,2015,Manhattan,142,
PR1314_2320,2015,Manhattan,159.333333333333,
PR1314_2329,2015,Manhattan,139.333333333333,
PR1314_2332,2015,Manhattan,164.666666666667,
PR1314_2333,2015,Manhattan,178.666666666667,
PR1314_2353,2015,Manhattan,194.666666666667,
PR1314_2354,2015,Manhattan,212.666666666667,
PR1314_2387,2015,Manhattan,158,
PR1314_2389,2015,Manhattan,195.333333333333,
PR1314_2393,2015,Manhattan,140,
PR1314_2402,2015,Manhattan,129.333333333333,
PR1314_2407,2015,Manhattan,88.6666666666667,
PR1314_2409,2015,Manhattan,142.666666666667,
PR1314_2417,2015,Manhattan,140.666666666667,
PR1314_2420,2015,Manhattan,134.666666666667,
PR1314_2429,2015,Manhattan,180,
PR1314_2432,2015,Manhattan,146,
PR1314_2439,2015,Manhattan,177.333333333333,
PR1314_2442,2015,Manhattan,104.666666666667,
PR1314_2445,2015,Manhattan,70,
PR1314_2446,2015,Manhattan,110,
PR1314_2464,2015,Manhattan,167.333333333333,
PR1314_2469,2015,Manhattan,145.333333333333,
PR1314_2470,2015,Manhattan,121.333333333333,
PR1314_2477,2015,Manhattan,174,
PR1314_2486,2015,Manhattan,155.333333333333,
PR1314_2495,2015,Manhattan,140,
PR1314_2504,2015,Manhattan,150,
PR1314_2506,2015,Manhattan,90.6666666666667,
PR1314_2511,2015,Manhattan,131.333333333333,
PR1314_2517,2015,Manhattan,98.6666666666667,
PR1314_2518,2015,Manhattan,132,
PR1314_2519,2015,Manhattan,110.666666666667,
PR1314_2520,2015,Manhattan,134.666666666667,
PR1314_2530,2015,Manhattan,130,
PR1314_2548,2015,Manhattan,90.6666666666667,
PR1314_2559,2015,Manhattan,154,
PR1314_2561,2015,Manhattan,138,
PR1314_2564,2015,Manhattan,86.6666666666667,
PR1314_2587,2015,Manhattan,117.333333333333,
PR1314_2602,2015,Manhattan,96.6666666666667,
PR1314_2614,2015,Manhattan,135.333333333333,
PR1314_2616,2015,Manhattan,101.333333333333,
PR1314_2619,2015,Manhattan,108.666666666667,
PR1314_2625,2015,Manhattan,135.333333333333,
PR1314_2629,2015,Manhattan,96,
PR1314_2630,2015,Manhattan,108,
PR1314_2652,2015,Manhattan,177.333333333333,
PR1314_2664,2015,Manhattan,130,
PR1314_2665,2015,Manhattan,150,
PR1314_2667,2015,Manhattan,105.333333333333,
PR1314_2679,2015,Manhattan,127.333333333333,
