Plot_ID	Pedigree	LIB	Family
PR1314_1086	Tx430/P898012	PR1314_1086:466	P898012_RIL
PR1314_1087	Tx430/P898012	PR1314_1087:467	P898012_RIL
PR1314_1088	Tx430/P898012	PR1314_1088:468	P898012_RIL
PR1314_1089	Tx430/P898012	PR1314_1089:MERGE	P898012_RIL
PR1314_1090	Tx430/P898012	PR1314_1090:2868	P898012_RIL
PR1314_1091	Tx430/P898012	PR1314_1091:471	P898012_RIL
PR1314_1092	Tx430/P898012	PR1314_1092:472	P898012_RIL
PR1314_1093	Tx430/P898012	PR1314_1093:MERGE	P898012_RIL
PR1314_1094	Tx430/P898012	PR1314_1094:MERGE	P898012_RIL
PR1314_1095	Tx430/P898012	PR1314_1095:475	P898012_RIL
PR1314_1096	Tx430/P898012	PR1314_1096:476	P898012_RIL
PR1314_1097	Tx430/P898012	PR1314_1097:477	P898012_RIL
PR1314_1098	Tx430/P898012	PR1314_1098:MERGE	P898012_RIL
PR1314_1099	Tx430/P898012	PR1314_1099:MERGE	P898012_RIL
PR1314_1100	Tx430/P898012	PR1314_1100:480	P898012_RIL
PR1314_1101	Tx430/P898012	PR1314_1101:481	P898012_RIL
PR1314_1102	Tx430/P898012	PR1314_1102:482	P898012_RIL
PR1314_1103	Tx430/P898012	PR1314_1103:483	P898012_RIL
PR1314_1104	Tx430/P898012	PR1314_1104:484	P898012_RIL
PR1314_1105	Tx430/P898012	PR1314_1105:485	P898012_RIL
PR1314_1106	Tx430/P898012	PR1314_1106:486	P898012_RIL
PR1314_1107	Tx430/P898012	PR1314_1107:487	P898012_RIL
PR1314_1108	Tx430/P898012	PR1314_1108:488	P898012_RIL
PR1314_1109	Tx430/P898012	PR1314_1109:MERGE	P898012_RIL
PR1314_1110	Tx430/P898012	PR1314_1110:490	P898012_RIL
PR1314_1111	Tx430/P898012	PR1314_1111:491	P898012_RIL
PR1314_1112	Tx430/P898012	PR1314_1112:MERGE	P898012_RIL
PR1314_1113	Tx430/P898012	PR1314_1113:493	P898012_RIL
PR1314_1114	Tx430/P898012	PR1314_1114:494	P898012_RIL
PR1314_1115	Tx430/P898012	PR1314_1115:495	P898012_RIL
PR1314_1116	Tx430/P898012	PR1314_1116:MERGE	P898012_RIL
PR1314_1117	Tx430/P898012	PR1314_1117:497	P898012_RIL
PR1314_1118	Tx430/P898012	PR1314_1118:498	P898012_RIL
PR1314_1119	Tx430/P898012	PR1314_1119:499	P898012_RIL
PR1314_1120	Tx430/P898012	PR1314_1120:500	P898012_RIL
PR1314_1121	Tx430/P898012	PR1314_1121:501	P898012_RIL
PR1314_1122	Tx430/P898012	PR1314_1122:MERGE	P898012_RIL
PR1314_1123	Tx430/P898012	PR1314_1123:503	P898012_RIL
PR1314_1124	Tx430/P898012	PR1314_1124:504	P898012_RIL
PR1314_1125	Tx430/P898012	PR1314_1125:505	P898012_RIL
PR1314_1126	Tx430/P898012	PR1314_1126:506	P898012_RIL
PR1314_1127	Tx430/P898012	PR1314_1127:507	P898012_RIL
PR1314_1128	Tx430/P898012	PR1314_1128:508	P898012_RIL
PR1314_1129	Tx430/P898012	PR1314_1129:MERGE	P898012_RIL
PR1314_1130	Tx430/P898012	PR1314_1130:510	P898012_RIL
PR1314_1131	Tx430/P898012	PR1314_1131:511	P898012_RIL
PR1314_1132	Tx430/P898012	PR1314_1132:512	P898012_RIL
PR1314_1133	Tx430/P898012	PR1314_1133:MERGE	P898012_RIL
PR1314_1134	Tx430/P898012	PR1314_1134:514	P898012_RIL
PR1314_1135	Tx430/P898012	PR1314_1135:515	P898012_RIL
PR1314_1136	Tx430/P898012	PR1314_1136:516	P898012_RIL
PR1314_1137	Tx430/P898012	PR1314_1137:MERGE	P898012_RIL
PR1314_1138	Tx430/P898012	PR1314_1138:518	P898012_RIL
PR1314_1139	Tx430/P898012	PR1314_1139:519	P898012_RIL
PR1314_1140	Tx430/P898012	PR1314_1140:520	P898012_RIL
PR1314_1141	Tx430/P898012	PR1314_1141:MERGE	P898012_RIL
PR1314_1142	Tx430/P898012	PR1314_1142:522	P898012_RIL
PR1314_1143	Tx430/P898012	PR1314_1143:523	P898012_RIL
PR1314_1144	Tx430/P898012	PR1314_1144:MERGE	P898012_RIL
PR1314_1145	Tx430/P898012	PR1314_1145:525	P898012_RIL
PR1314_1146	Tx430/P898012	PR1314_1146:526	P898012_RIL
PR1314_1147	Tx430/P898012	PR1314_1147:527	P898012_RIL
PR1314_1148	Tx430/P898012	PR1314_1148:528	P898012_RIL
PR1314_1149	Tx430/P898012	PR1314_1149:529	P898012_RIL
PR1314_1150	Tx430/P898012	PR1314_1150:530	P898012_RIL
PR1314_1151	Tx430/P898012	PR1314_1151:531	P898012_RIL
PR1314_1152	Tx430/P898012	PR1314_1152:532	P898012_RIL
PR1314_1153	Tx430/P898012	PR1314_1153:533	P898012_RIL
PR1314_1154	Tx430/P898012	PR1314_1154:534	P898012_RIL
PR1314_1155	Tx430/P898012	PR1314_1155:535	P898012_RIL
PR1314_1156	Tx430/P898012	PR1314_1156:536	P898012_RIL
